"gid" "Title" "Platform" "Metascore" "Avg_Userscore" "Single_player" "Action" "General" "First-Person" "Shooter" "Traditional" "Role-Playing" "Adventure" "Arcade" "Sci-Fi" "Fantasy" "Open-World" "Strategy" "Miscellaneous" "Historic" "2D" "Tactical" "Third-Person" "Real-Time" "Sports" "Racing" "Platformer" "Modern" "Action Adventure" "Team"
"104" 104 "Sid Meier's Civilization IV" "PC" 18 58 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"105" 105 "Madden NFL 2004" "GameCube" 18 45 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"106" 106 "Virtua Fighter 4" "PlayStation2" 18 56 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"107" 107 "Super Mario 64" "Nintendo64" 18 67 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"108" 108 "The Witcher 3: Wild Hunt" "PC" 17 68 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"109" 109 "Burnout 3: Takedown" "PlayStation2" 17 65 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"110" 110 "Super Smash Bros. Brawl" "Wii" 17 64 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"111" 111 "Company of Heroes" "PC" 17 63 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0
"112" 112 "Gran Turismo 2" "PlayStation" 17 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"113" 113 "Tom Clancy's Splinter Cell Pandora Tomorrow" "Xbox" 17 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"114" 114 "Grand Theft Auto: Chinatown Wars" "DS" 17 57 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"115" 115 "Pac-Man Championship Edition DX" "Xbox360" 17 53 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"116" 116 "Street Fighter Alpha 3" "PlayStation" 17 61 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
